worker,task_type,size,repeat,pair_index,duration_ms,error,cpu_util_pct,ram_usage_kib,ram_max_kib,cpu_limit_cores,metrics_error
worker4:2004,prime_sieve,5000000,1,0,111,,88.86,15932.00,1048576.00,1.00,
worker6:2006,prime_sieve,5000000,1,0,111,,90.07,16224.00,2097152.00,2.00,
worker3:2003,mat_mul,200,1,0,816,,57.54,13952.00,819200.00,0.80,
worker5:2005,prime_sieve,5000000,1,0,114,,85.13,16060.00,1572864.00,1.50,
worker4:2004,prime_sieve,5000000,2,0,110,,88.86,15932.00,1048576.00,1.00,
worker6:2006,prime_sieve,5000000,2,0,112,,90.07,16224.00,2097152.00,2.00,
worker4:2004,prime_sieve,5000000,3,0,112,,88.86,15932.00,1048576.00,1.00,
worker5:2005,prime_sieve,5000000,2,0,118,,85.13,16060.00,1572864.00,1.50,
worker6:2006,prime_sieve,5000000,3,0,118,,90.07,16224.00,2097152.00,2.00,
worker4:2004,prime_sieve,10000000,1,0,112,,88.86,15932.00,1048576.00,1.00,
worker5:2005,prime_sieve,5000000,3,0,122,,85.13,16060.00,1572864.00,1.50,
worker6:2006,prime_sieve,10000000,1,0,111,,90.07,16224.00,2097152.00,2.00,
worker4:2004,prime_sieve,10000000,2,0,112,,57.29,8224.00,1048576.00,1.00,
worker5:2005,prime_sieve,10000000,1,0,116,,67.45,28088.00,1572864.00,1.50,
worker6:2006,prime_sieve,10000000,2,0,115,,61.35,28008.00,2097152.00,2.00,
worker4:2004,prime_sieve,10000000,3,0,117,,57.29,8224.00,1048576.00,1.00,
worker5:2005,prime_sieve,10000000,2,0,111,,67.45,28088.00,1572864.00,1.50,
worker6:2006,prime_sieve,10000000,3,0,111,,61.35,28008.00,2097152.00,2.00,
worker2:2002,monte_carlo,6000000,3,0,1615,,49.88,12032.00,512000.00,0.50,
worker5:2005,prime_sieve,10000000,3,0,221,,67.45,28088.00,1572864.00,1.50,
worker4:2004,prime_sieve,20000000,1,0,312,,57.29,8224.00,1048576.00,1.00,
worker3:2003,mat_mul,200,2,0,810,,72.51,15564.00,819200.00,0.80,
worker6:2006,prime_sieve,20000000,1,0,319,,61.35,28008.00,2097152.00,2.00,
worker2:2002,mat_mul,100,1,0,224,,50.06,12160.00,512000.00,0.50,
worker5:2005,prime_sieve,20000000,1,0,211,,67.45,28088.00,1572864.00,1.50,
worker6:2006,prime_sieve,20000000,2,0,220,,61.35,28008.00,2097152.00,2.00,
worker2:2002,mat_mul,100,2,0,213,,50.06,12160.00,512000.00,0.50,
worker4:2004,prime_sieve,20000000,2,0,312,,57.29,8224.00,1048576.00,1.00,
worker5:2005,prime_sieve,20000000,2,0,214,,67.45,28088.00,1572864.00,1.50,
worker6:2006,prime_sieve,20000000,3,0,217,,61.35,28008.00,2097152.00,2.00,
worker2:2002,mat_mul,100,3,0,213,,50.06,12160.00,512000.00,0.50,
worker4:2004,prime_sieve,20000000,3,0,220,,57.29,8224.00,1048576.00,1.00,
worker5:2005,prime_sieve,20000000,3,0,212,,67.45,28088.00,1572864.00,1.50,
worker1:2001,monte_carlo,6000000,1,0,2814,,30.26,11664.00,307200.00,0.30,
worker2:2002,mat_mul,150,1,0,517,,44.14,14180.00,512000.00,0.50,
worker3:2003,mat_mul,200,3,0,1010,,77.36,16072.00,819200.00,0.80,
worker3:2003,prime_sieve,5000000,1,0,113,,73.98,16208.00,819200.00,0.80,
worker3:2003,prime_sieve,5000000,2,0,118,,73.98,16208.00,819200.00,0.80,
worker3:2003,prime_sieve,5000000,3,0,122,,73.98,16208.00,819200.00,0.80,
worker3:2003,prime_sieve,10000000,1,0,117,,73.98,16208.00,819200.00,0.80,
worker3:2003,prime_sieve,10000000,2,0,111,,49.79,28056.00,819200.00,0.80,
worker2:2002,mat_mul,150,2,0,616,,44.14,14180.00,512000.00,0.50,
worker3:2003,prime_sieve,10000000,3,0,117,,49.79,28056.00,819200.00,0.80,
worker3:2003,prime_sieve,20000000,1,0,216,,49.79,28056.00,819200.00,0.80,
worker3:2003,prime_sieve,20000000,2,0,215,,49.79,28056.00,819200.00,0.80,
worker2:2002,mat_mul,150,3,0,616,,48.12,9024.00,512000.00,0.50,
worker3:2003,prime_sieve,20000000,3,0,213,,49.79,28056.00,819200.00,0.80,
worker2:2002,mat_mul,200,1,0,1214,,48.12,9024.00,512000.00,0.50,
worker1:2001,monte_carlo,6000000,2,0,3112,,30.01,11720.00,307200.00,0.30,
worker2:2002,mat_mul,200,2,0,1311,,47.31,15812.00,512000.00,0.50,
worker2:2002,mat_mul,200,3,0,1126,,50.22,16768.00,512000.00,0.50,
worker2:2002,prime_sieve,5000000,1,0,117,,49.64,16592.00,512000.00,0.50,
worker2:2002,prime_sieve,5000000,2,0,117,,49.64,16592.00,512000.00,0.50,
worker2:2002,prime_sieve,5000000,3,0,113,,49.64,16592.00,512000.00,0.50,
worker2:2002,prime_sieve,10000000,1,0,117,,49.64,16592.00,512000.00,0.50,
worker2:2002,prime_sieve,10000000,2,0,112,,49.64,16592.00,512000.00,0.50,
worker1:2001,monte_carlo,6000000,3,0,2712,,30.04,11852.00,307200.00,0.30,
worker2:2002,prime_sieve,10000000,3,0,211,,39.38,11784.00,512000.00,0.50,
worker1:2001,mat_mul,100,1,0,317,,30.04,11876.00,307200.00,0.30,
worker2:2002,prime_sieve,20000000,1,0,321,,39.38,11784.00,512000.00,0.50,
worker1:2001,mat_mul,100,2,0,211,,30.04,11876.00,307200.00,0.30,
worker2:2002,prime_sieve,20000000,2,0,213,,39.38,11784.00,512000.00,0.50,
worker1:2001,mat_mul,100,3,0,314,,30.04,11876.00,307200.00,0.30,
worker2:2002,prime_sieve,20000000,3,0,211,,39.38,11784.00,512000.00,0.50,
worker1:2001,mat_mul,150,1,0,1214,,25.33,9000.00,307200.00,0.30,
worker1:2001,mat_mul,150,2,0,1922,,31.91,15116.00,307200.00,0.30,
